index,field,pv,value,read-only
1825,enabled,SR20C-DI-EBPM-04:CF:ENABLED_S,1,True
1839,enabled,SR20C-DI-EBPM-05:CF:ENABLED_S,1,True
1849,enabled,SR20C-DI-EBPM-06:CF:ENABLED_S,1,True
1859,enabled,SR20C-DI-EBPM-07:CF:ENABLED_S,1,True
1873,enabled,SR21C-DI-EBPM-01:CF:ENABLED_S,1,True
1889,enabled,SR21C-DI-EBPM-02:CF:ENABLED_S,1,True
1895,enabled,SR21C-DI-EBPM-03:CF:ENABLED_S,1,True
1903,enabled,SR21C-DI-EBPM-04:CF:ENABLED_S,1,True
1917,enabled,SR21C-DI-EBPM-05:CF:ENABLED_S,1,True
1928,enabled,SR21C-DI-EBPM-06:CF:ENABLED_S,1,True
1938,enabled,SR21C-DI-EBPM-07:CF:ENABLED_S,1,True
1952,enabled,SR22C-DI-EBPM-01:CF:ENABLED_S,1,True
1968,enabled,SR22C-DI-EBPM-02:CF:ENABLED_S,1,True
1974,enabled,SR22C-DI-EBPM-03:CF:ENABLED_S,1,True
1982,enabled,SR22C-DI-EBPM-04:CF:ENABLED_S,1,True
1996,enabled,SR22C-DI-EBPM-05:CF:ENABLED_S,1,True
2007,enabled,SR22C-DI-EBPM-06:CF:ENABLED_S,1,True
2017,enabled,SR22C-DI-EBPM-07:CF:ENABLED_S,1,True
2031,enabled,SR23C-DI-EBPM-01:CF:ENABLED_S,1,True
2047,enabled,SR23C-DI-EBPM-02:CF:ENABLED_S,1,True
2053,enabled,SR23C-DI-EBPM-03:CF:ENABLED_S,1,True
2061,enabled,SR23C-DI-EBPM-04:CF:ENABLED_S,1,True
2075,enabled,SR23C-DI-EBPM-05:CF:ENABLED_S,1,True
2086,enabled,SR23C-DI-EBPM-06:CF:ENABLED_S,1,True
2096,enabled,SR23C-DI-EBPM-07:CF:ENABLED_S,1,True
2124,enabled,SR24C-DI-EBPM-01:CF:ENABLED_S,1,True
2140,enabled,SR24C-DI-EBPM-02:CF:ENABLED_S,1,True
2146,enabled,SR24C-DI-EBPM-03:CF:ENABLED_S,1,True
2154,enabled,SR24C-DI-EBPM-04:CF:ENABLED_S,1,True
2168,enabled,SR24C-DI-EBPM-05:CF:ENABLED_S,1,True
2179,enabled,SR24C-DI-EBPM-06:CF:ENABLED_S,1,True
2189,enabled,SR24C-DI-EBPM-07:CF:ENABLED_S,1,True
5,offset,SR01A-PC-Q1D-01:OFFSET1,0,True
11,offset,SR01A-PC-Q2D-02:OFFSET1,0,True
1453,offset,SR16A-PC-Q3B-03:OFFSET1,0,True
1067,offset,SR11A-PC-Q2B-09:OFFSET1,0,True
1336,offset,SR14A-PC-Q3B-08:OFFSET1,0,True
59,offset,SR01A-PC-Q2B-09:OFFSET1,0,True
2126,offset,SR24A-PC-Q1B-01:OFFSET1,0,True
1152,offset,SR12A-PC-Q1D-10:OFFSET1,0,True
1656,offset,SR18A-PC-Q1B-10:OFFSET1,0,True
749,offset,SR08A-PC-Q1D-10:OFFSET1,0,True
665,offset,SR07A-PC-Q2B-09:OFFSET1,0,True
1875,offset,SR21A-PC-Q1D-01:OFFSET1,0,True
481,offset,SR05A-PC-Q2B-09:OFFSET1,0,True
1926,offset,SR21A-PC-Q3B-08:OFFSET1,0,True
1960,offset,SR22A-PC-Q2B-02:OFFSET1,0,True
969,offset,SR10A-PC-Q3B-08:OFFSET1,0,True
1742,offset,SR19A-PC-Q2B-09:OFFSET1,0,True
1575,offset,SR17A-PC-Q1B-10:OFFSET1,0,True
1340,offset,SR14A-PC-Q2B-09:OFFSET1,0,True
55,offset,SR01A-PC-Q3B-08:OFFSET1,0,True
1962,offset,SR22A-PC-Q3B-03:OFFSET1,0,True
308,offset,SR03A-PC-Q1B-10:OFFSET1,0,True
1425,offset,SR15A-PC-Q1B-10:OFFSET1,0,True
1694,offset,SR19A-PC-Q2B-02:OFFSET1,0,True
518,offset,SR06A-PC-Q1B-01:OFFSET1,0,True
302,offset,SR03A-PC-Q2B-09:OFFSET1,0,True
1073,offset,SR11A-PC-Q1B-10:OFFSET1,0,True
13,offset,SR01A-PC-Q3D-03:OFFSET1,0,True
1258,offset,SR13A-PC-Q3B-08:OFFSET1,0,True
1930,offset,SR21A-PC-Q2B-09:OFFSET1,0,True
855,offset,SR09A-PC-Q3B-08:OFFSET1,0,True
2132,offset,SR24A-PC-Q2B-02:OFFSET1,0,True
973,offset,SR10A-PC-Q2B-09:OFFSET1,0,True
1847,offset,SR20A-PC-Q3D-08:OFFSET1,0,True
671,offset,SR07A-PC-Q1B-10:OFFSET1,0,True
1696,offset,SR19A-PC-Q3B-03:OFFSET1,0,True
1881,offset,SR21A-PC-Q2D-02:OFFSET1,0,True
487,offset,SR05A-PC-Q1B-10:OFFSET1,0,True
689,offset,SR08A-PC-Q1B-01:OFFSET1,0,True
2134,offset,SR24A-PC-Q3B-03:OFFSET1,0,True
2084,offset,SR23A-PC-Q3B-08:OFFSET1,0,True
1748,offset,SR19A-PC-Q1B-10:OFFSET1,0,True
1883,offset,SR21A-PC-Q3D-03:OFFSET1,0,True
298,offset,SR03A-PC-Q3B-08:OFFSET1,0,True
1262,offset,SR13A-PC-Q2B-09:OFFSET1,0,True
1346,offset,SR14A-PC-Q1B-10:OFFSET1,0,True
859,offset,SR09A-PC-Q2B-09:OFFSET1,0,True
1565,offset,SR17A-PC-Q3B-08:OFFSET1,0,True
1851,offset,SR20A-PC-Q2D-09:OFFSET1,0,True
524,offset,SR06A-PC-Q2B-02:OFFSET1,0,True
1936,offset,SR21A-PC-Q1B-10:OFFSET1,0,True
1365,offset,SR15A-PC-Q1B-01:OFFSET1,0,True
1063,offset,SR11A-PC-Q3B-08:OFFSET1,0,True
979,offset,SR10A-PC-Q1B-10:OFFSET1,0,True
2088,offset,SR23A-PC-Q2B-09:OFFSET1,0,True
526,offset,SR06A-PC-Q3B-03:OFFSET1,0,True
661,offset,SR07A-PC-Q3B-08:OFFSET1,0,True
695,offset,SR08A-PC-Q2B-02:OFFSET1,0,True
1569,offset,SR17A-PC-Q2B-09:OFFSET1,0,True
427,offset,SR05A-PC-Q1D-01:OFFSET1,0,True
1738,offset,SR19A-PC-Q3B-08:OFFSET1,0,True
1268,offset,SR13A-PC-Q1B-10:OFFSET1,0,True
697,offset,SR08A-PC-Q3B-03:OFFSET1,0,True
2041,offset,SR23A-PC-Q3B-03:OFFSET1,0,True
865,offset,SR09A-PC-Q1B-10:OFFSET1,0,True
1857,offset,SR20A-PC-Q1D-10:OFFSET1,0,True
1521,offset,SR17A-PC-Q2D-02:OFFSET1,0,True
1017,offset,SR11A-PC-Q2B-02:OFFSET1,0,True
1286,offset,SR14A-PC-Q1B-01:OFFSET1,0,True
396,offset,SR04A-PC-Q3D-08:OFFSET1,0,True
2177,offset,SR24A-PC-Q3D-08:OFFSET1,0,True
2009,offset,SR22A-PC-Q2B-09:OFFSET1,0,True
1371,offset,SR15A-PC-Q2B-02:OFFSET1,0,True
1506,offset,SR16A-PC-Q1D-10:OFFSET1,0,True
2094,offset,SR23A-PC-Q1B-10:OFFSET1,0,True
1523,offset,SR17A-PC-Q3D-03:OFFSET1,0,True
1019,offset,SR11A-PC-Q3B-03:OFFSET1,0,True
352,offset,SR04A-PC-Q2B-02:OFFSET1,0,True
616,offset,SR07A-PC-Q2B-02:OFFSET1,0,True
919,offset,SR10A-PC-Q1B-01:OFFSET1,0,True
1373,offset,SR15A-PC-Q3B-03:OFFSET1,0,True
433,offset,SR05A-PC-Q2D-02:OFFSET1,0,True
618,offset,SR07A-PC-Q3B-03:OFFSET1,0,True
400,offset,SR04A-PC-Q2D-09:OFFSET1,0,True
568,offset,SR06A-PC-Q3B-08:OFFSET1,0,True
2181,offset,SR24A-PC-Q2D-09:OFFSET1,0,True
1688,offset,SR19A-PC-Q1B-01:OFFSET1,0,True
435,offset,SR05A-PC-Q3D-03:OFFSET1,0,True
1208,offset,SR13A-PC-Q1D-01:OFFSET1,0,True
1292,offset,SR14A-PC-Q2B-02:OFFSET1,0,True
