pv,upper,lower
SR04A-PC-HSTR-07:I,5.0,-5.0
SR04A-PC-HSTR-07:SETI,5.0,-5.0
SR04A-PC-S1D-07:I,100.0,-100.0
SR04A-PC-S1D-07:SETI,100.0,-100.0
SR04A-PC-VSTR-07:I,5.0,-5.0
SR04A-PC-VSTR-07:SETI,5.0,-5.0
SR04A-PC-Q1D-10:I,200.0,0.0
SR04A-PC-Q1D-10:SETI,200.0,0.0
SR05A-PC-Q1D-01:I,200.0,0.0
SR05A-PC-Q1D-01:SETI,200.0,0.0
SR05A-PC-SQUAD-01:I,5.0,-5.0
SR05A-PC-SQUAD-01:SETI,5.0,-5.0
SR05A-PC-HSTR-01:I,5.0,-5.0
SR05A-PC-HSTR-01:SETI,5.0,-5.0
SR05A-PC-S1D-01:I,100.0,-100.0
SR05A-PC-S1D-01:SETI,100.0,-100.0
SR05A-PC-VSTR-01:I,5.0,-5.0
SR05A-PC-VSTR-01:SETI,5.0,-5.0
SR05A-PC-Q2D-02:I,200.0,0.0
SR05A-PC-Q2D-02:SETI,200.0,0.0
SR05A-PC-Q3D-03:I,200.0,0.0
SR05A-PC-Q3D-03:SETI,200.0,0.0
SR05A-PC-HSTR-02:I,5.0,-5.0
SR05A-PC-HSTR-02:SETI,5.0,-5.0
SR05A-PC-S2D-02:I,100.0,-100.0
SR05A-PC-S2D-02:SETI,100.0,-100.0
SR05A-PC-VSTR-02:I,5.0,-5.0
SR05A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR05A-PC-Q2AD-04:I,200.0,0.0
SR05A-PC-Q2AD-04:SETI,200.0,0.0
SR05A-PC-SQUAD-02:I,5.0,-5.0
SR05A-PC-SQUAD-02:SETI,5.0,-5.0
SR05A-PC-HSTR-03:I,5.0,-5.0
SR05A-PC-HSTR-03:SETI,5.0,-5.0
SR05A-PC-S2A-03:I,100.0,0.0
SR05A-PC-S2A-03:SETI,100.0,0.0
SR05A-PC-VSTR-03:I,5.0,-5.0
SR05A-PC-VSTR-03:SETI,5.0,-5.0
SR05A-PC-Q1AD-05:I,200.0,0.0
SR05A-PC-Q1AD-05:SETI,200.0,0.0
SR05A-PC-HSTR-04:I,5.0,-5.0
SR05A-PC-HSTR-04:SETI,5.0,-5.0
